,name,business_status,rating,price_level,types,vicinity,Latitude,Longitude,Latitude,Longitude
129,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307,,
130,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999,,
131,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
132,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999,,
133,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
134,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867,,
135,Aladdin,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","651 Union Blvd, Allentown",40.6242191,-75.44910829999999,,
136,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
137,Perkins Restaurant & Bakery,OPERATIONAL,4.2,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3400 Lehigh St, Allentown",40.5527009,-75.4918738,,
138,The Clean Plate Kitchen,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","49 Main St, Clinton",40.6360462,-74.91163329999999,,
139,Perkins Restaurant & Bakery,OPERATIONAL,4.3,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3940 Nazareth Pike, Bethlehem",40.6774729,-75.3422964,,
140,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
141,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
142,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
143,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
144,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
145,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
146,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
147,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
148,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
149,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
150,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
151,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
152,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
153,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
154,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
155,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
156,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
157,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
158,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
159,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091,,
0,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
1,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
2,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
3,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
4,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
5,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
6,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
7,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
8,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
9,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
10,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
11,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
12,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
13,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
14,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
15,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
16,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
17,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
18,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
19,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091,,
20,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
21,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
22,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
23,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
24,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
25,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
26,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
27,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
28,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
29,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
30,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
31,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
32,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
33,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
34,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
35,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
36,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
37,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
38,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
39,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091,,
40,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
41,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
42,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
43,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
44,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
45,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
46,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
47,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
48,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
49,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
50,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
51,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
52,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
53,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
54,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
55,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
56,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
57,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
58,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
59,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091,,
60,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
61,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
62,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
63,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
64,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
65,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
66,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
67,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
68,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
69,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
70,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
71,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
72,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
73,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
74,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
75,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
76,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
77,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
78,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
79,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091,,
80,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
81,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
82,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
83,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
84,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
85,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
86,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
87,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
88,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
89,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
90,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
91,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
92,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
93,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
94,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
95,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
96,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
97,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
98,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
99,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091,,
100,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572,,
101,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071,,
102,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999,,
103,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999,,
104,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138,,
105,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703,,
106,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051,,
107,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177,,
108,Slices Pizza,OPERATIONAL,4.5,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","4249 Ridge Ave, Philadelphia",40.009654,-75.195503,,
109,Baja Fresh,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","551 E Street Rd, Trevose",40.1402931,-74.9895172,,
110,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184,,
111,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785,,
112,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903,,
113,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999,,
114,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001,,
115,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999,,
116,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999,,
117,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851,,
118,SOUTH,OPERATIONAL,4.5,2.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","600 N Broad St, Philadelphia",39.9643921,-75.1612244,,
